/usr/local/lib/python3.10/dist-packages/torch/nn/modules/rnn.py:83: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.1 and num_layers=1
  warnings.warn("dropout option adds dropout after all but last "
[Tegrastats] Continuous monitoring started.
cuda
[Tegrastats] Stats: {'mem_used_MB': 5869, 'mem_total_MB': 15657, 'power_mW_current': 7240, 'power_mW_avg': 7240, 'gpu_utilization': 0, 'gpu_temperature': 53.562}
[Tegrastats] Stats: {'mem_used_MB': 5965, 'mem_total_MB': 15657, 'power_mW_current': 7725, 'power_mW_avg': 7482, 'gpu_utilization': 0, 'gpu_temperature': 53.937}
[Tegrastats] Stats: {'mem_used_MB': 6666, 'mem_total_MB': 15657, 'power_mW_current': 8372, 'power_mW_avg': 7779, 'gpu_utilization': 0, 'gpu_temperature': 54.062}
[Tegrastats] Stats: {'mem_used_MB': 7133, 'mem_total_MB': 15657, 'power_mW_current': 16760, 'power_mW_avg': 10024, 'gpu_utilization': 0, 'gpu_temperature': 55.468}
[Tegrastats] Stats: {'mem_used_MB': 8444, 'mem_total_MB': 15657, 'power_mW_current': 17362, 'power_mW_avg': 11491, 'gpu_utilization': 99, 'gpu_temperature': 57.437}
[Tegrastats] Stats: {'mem_used_MB': 9269, 'mem_total_MB': 15657, 'power_mW_current': 19783, 'power_mW_avg': 12873, 'gpu_utilization': 99, 'gpu_temperature': 59.687}
[Tegrastats] Stats: {'mem_used_MB': 10095, 'mem_total_MB': 15657, 'power_mW_current': 21314, 'power_mW_avg': 14079, 'gpu_utilization': 99, 'gpu_temperature': 60.031}
[Tegrastats] Stats: {'mem_used_MB': 10646, 'mem_total_MB': 15657, 'power_mW_current': 20104, 'power_mW_avg': 14832, 'gpu_utilization': 99, 'gpu_temperature': 59.468}
[Tegrastats] Stats: {'mem_used_MB': 10669, 'mem_total_MB': 15657, 'power_mW_current': 19943, 'power_mW_avg': 15400, 'gpu_utilization': 99, 'gpu_temperature': 59.75}
[Tegrastats] Stats: {'mem_used_MB': 10669, 'mem_total_MB': 15657, 'power_mW_current': 20385, 'power_mW_avg': 15898, 'gpu_utilization': 99, 'gpu_temperature': 60.125}
[Tegrastats] Stats: {'mem_used_MB': 10669, 'mem_total_MB': 15657, 'power_mW_current': 20425, 'power_mW_avg': 16310, 'gpu_utilization': 99, 'gpu_temperature': 60.5}
[Tegrastats] Stats: {'mem_used_MB': 10669, 'mem_total_MB': 15657, 'power_mW_current': 20425, 'power_mW_avg': 16653, 'gpu_utilization': 99, 'gpu_temperature': 60.687}
[Tegrastats] Stats: {'mem_used_MB': 10723, 'mem_total_MB': 15657, 'power_mW_current': 17483, 'power_mW_avg': 16717, 'gpu_utilization': 29, 'gpu_temperature': 58.875}
tensor(1556.8552, device='cuda:0', grad_fn=<MeanBackward0>)
[Tegrastats] Stats: {'mem_used_MB': 10892, 'mem_total_MB': 15657, 'power_mW_current': 21354, 'power_mW_avg': 17048, 'gpu_utilization': 99, 'gpu_temperature': 60.375}
[Tegrastats] Stats: {'mem_used_MB': 10892, 'mem_total_MB': 15657, 'power_mW_current': 23640, 'power_mW_avg': 17487, 'gpu_utilization': 99, 'gpu_temperature': 62.093}
[Tegrastats] Stats: {'mem_used_MB': 10892, 'mem_total_MB': 15657, 'power_mW_current': 23080, 'power_mW_avg': 17837, 'gpu_utilization': 90, 'gpu_temperature': None}
[Tegrastats] Stats: {'mem_used_MB': 10907, 'mem_total_MB': 15657, 'power_mW_current': 22355, 'power_mW_avg': 18102, 'gpu_utilization': 99, 'gpu_temperature': 62.031}
[Tegrastats] Stats: {'mem_used_MB': 10907, 'mem_total_MB': 15657, 'power_mW_current': 20505, 'power_mW_avg': 18236, 'gpu_utilization': 99, 'gpu_temperature': 61.875}
[Tegrastats] Stats: {'mem_used_MB': 10907, 'mem_total_MB': 15657, 'power_mW_current': 20385, 'power_mW_avg': 18349, 'gpu_utilization': 99, 'gpu_temperature': 61.781}
[Tegrastats] Stats: {'mem_used_MB': 10907, 'mem_total_MB': 15657, 'power_mW_current': 20425, 'power_mW_avg': 18453, 'gpu_utilization': 99, 'gpu_temperature': None}
[Tegrastats] Stats: {'mem_used_MB': 10907, 'mem_total_MB': 15657, 'power_mW_current': 20385, 'power_mW_avg': 18545, 'gpu_utilization': 99, 'gpu_temperature': 62.281}
tensor(94.5045, device='cuda:0', grad_fn=<MeanBackward0>)
[Tegrastats] Stats: {'mem_used_MB': 10907, 'mem_total_MB': 15657, 'power_mW_current': 17925, 'power_mW_avg': 18517, 'gpu_utilization': 0, 'gpu_temperature': 60.812}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 22075, 'power_mW_avg': 18671, 'gpu_utilization': 99, 'gpu_temperature': 62.875}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 23880, 'power_mW_avg': 18888, 'gpu_utilization': 99, 'gpu_temperature': 63.531}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 23480, 'power_mW_avg': 19072, 'gpu_utilization': 99, 'gpu_temperature': 63.687}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 22515, 'power_mW_avg': 19204, 'gpu_utilization': 99, 'gpu_temperature': 63.718}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 20913, 'power_mW_avg': 19268, 'gpu_utilization': 99, 'gpu_temperature': 63.531}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 20713, 'power_mW_avg': 19319, 'gpu_utilization': 99, 'gpu_temperature': 63.437}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 20713, 'power_mW_avg': 19367, 'gpu_utilization': 99, 'gpu_temperature': 63.468}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 20753, 'power_mW_avg': 19413, 'gpu_utilization': 99, 'gpu_temperature': 63.906}
tensor(11.3572, device='cuda:0', grad_fn=<MeanBackward0>)
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 17443, 'power_mW_avg': 19350, 'gpu_utilization': 68, 'gpu_temperature': 62.156}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 22796, 'power_mW_avg': 19458, 'gpu_utilization': 99, 'gpu_temperature': 64.468}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 24080, 'power_mW_avg': 19598, 'gpu_utilization': 99, 'gpu_temperature': 65.25}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 23720, 'power_mW_avg': 19719, 'gpu_utilization': 99, 'gpu_temperature': 65.468}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 22596, 'power_mW_avg': 19801, 'gpu_utilization': 99, 'gpu_temperature': 64.75}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 21193, 'power_mW_avg': 19840, 'gpu_utilization': 99, 'gpu_temperature': 64.75}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 21113, 'power_mW_avg': 19874, 'gpu_utilization': 99, 'gpu_temperature': 64.75}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 21113, 'power_mW_avg': 19907, 'gpu_utilization': 99, 'gpu_temperature': 64.875}
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 21113, 'power_mW_avg': 19938, 'gpu_utilization': 99, 'gpu_temperature': 65.031}
tensor(13.0498, device='cuda:0', grad_fn=<MeanBackward0>)
[Tegrastats] Stats: {'mem_used_MB': 10942, 'mem_total_MB': 15657, 'power_mW_current': 17644, 'power_mW_avg': 19880, 'gpu_utilization': 99, 'gpu_temperature': 65.281}
